pnr_synth,age,civilstatus,track,benefit_gross_dkk,net_annual_cost_dkk,fp_responsive,res_years_left,years_to_folkepension,npv_saving_dkk
SYN42000066,26,enlig,ressourceforloeb,145000,101500,1,2,44,448084
SYN42000067,23,enlig,ressourceforloeb,145000,101500,0,1,47,-75033
SYN42000068,18,enlig,foertidspension,245000,151900,1,0,52,265942
SYN42000069,25,enlig,ressourceforloeb,145000,101500,1,5,45,352202
SYN42000070,21,enlig,ressourceforloeb,145000,101500,0,2,49,223686
SYN42000071,24,samlevende,foertidspension,208000,128960,1,0,46,186700
SYN42000072,29,samlevende,foertidspension,208000,128960,0,0,41,-10000
SYN42000073,22,samlevende,foertidspension,208000,128960,0,0,48,-10000
SYN42000074,19,enlig,foertidspension,245000,151900,1,0,51,146166
SYN42000075,22,enlig,foertidspension,245000,151900,0,0,48,-10000
SYN42000076,23,samlevende,ressourceforloeb,110000,77000,1,4,47,269038
SYN42000077,27,samlevende,foertidspension,208000,128960,0,0,43,-10000
SYN42000078,26,samlevende,foertidspension,208000,128960,1,0,44,198967
SYN42000079,28,samlevende,ressourceforloeb,110000,77000,0,3,42,105293
SYN42000080,27,samlevende,ressourceforloeb,110000,77000,1,3,43,312999
SYN42000081,24,enlig,ressourceforloeb,145000,101500,1,3,46,309745
SYN42000082,29,enlig,foertidspension,245000,151900,1,0,41,185822
SYN42000083,21,enlig,foertidspension,245000,151900,1,0,49,260748
SYN42000084,18,samlevende,foertidspension,208000,128960,1,0,52,131600
SYN42000085,19,samlevende,ressourceforloeb,110000,77000,1,4,51,356085
SYN42000086,28,enlig,ressourceforloeb,145000,101500,1,5,42,191072
SYN42000087,25,samlevende,ressourceforloeb,110000,77000,1,5,45,281348
SYN42000088,21,enlig,foertidspension,245000,151900,1,0,49,129865
SYN42000089,25,enlig,foertidspension,245000,151900,1,0,45,246824
SYN42000090,20,enlig,foertidspension,245000,151900,0,0,50,-10000
SYN42000091,28,enlig,foertidspension,245000,151900,1,0,42,154972
SYN42000092,25,samlevende,foertidspension,208000,128960,1,0,45,91814
SYN42000093,24,enlig,foertidspension,245000,151900,0,0,46,-10000
SYN42000094,23,samlevende,ressourceforloeb,110000,77000,0,3,47,126814
SYN42000095,27,samlevende,ressourceforloeb,110000,77000,1,1,43,6241
SYN42000096,24,enlig,ressourceforloeb,145000,101500,0,2,46,73072
SYN42000097,19,enlig,ressourceforloeb,145000,101500,0,2,51,201542
SYN42000098,20,samlevende,ressourceforloeb,110000,77000,0,3,50,-40489
SYN42000099,30,enlig,ressourceforloeb,145000,101500,0,3,40,142210
SYN42000100,30,samlevende,foertidspension,208000,128960,1,0,40,63654
SYN42000101,28,enlig,ressourceforloeb,145000,101500,1,3,42,301638
SYN42000102,22,samlevende,foertidspension,208000,128960,1,0,48,288765
SYN42000103,30,samlevende,foertidspension,208000,128960,1,0,40,290957
SYN42000104,28,enlig,foertidspension,245000,151900,1,0,42,124146
SYN42000105,28,enlig,foertidspension,245000,151900,0,0,42,-10000
SYN42000106,25,samlevende,ressourceforloeb,110000,77000,1,4,45,265792
SYN42000107,22,enlig,foertidspension,245000,151900,0,0,48,-10000
SYN42000108,19,enlig,ressourceforloeb,145000,101500,0,2,51,60537
SYN42000109,30,enlig,foertidspension,245000,151900,1,0,40,136125
SYN42000110,25,enlig,ressourceforloeb,145000,101500,1,2,45,498878
SYN42000111,21,samlevende,ressourceforloeb,110000,77000,0,1,49,56094
SYN42000112,23,samlevende,foertidspension,208000,128960,1,0,47,207109
SYN42000113,26,enlig,foertidspension,245000,151900,1,0,44,397908
SYN42000114,21,samlevende,ressourceforloeb,110000,77000,0,4,49,187491
SYN42000115,29,enlig,foertidspension,245000,151900,0,0,41,-10000
SYN42000116,28,enlig,ressourceforloeb,145000,101500,0,2,42,-143264
SYN42000117,28,samlevende,foertidspension,208000,128960,1,0,42,117914
SYN42000118,25,samlevende,ressourceforloeb,110000,77000,0,1,45,130866
SYN42000119,27,enlig,ressourceforloeb,145000,101500,1,5,43,340287
SYN42000120,26,enlig,ressourceforloeb,145000,101500,0,4,44,449012
SYN42000121,27,enlig,ressourceforloeb,145000,101500,1,4,43,441834
SYN42000122,19,samlevende,ressourceforloeb,110000,77000,1,5,51,226441
SYN42000123,24,enlig,ressourceforloeb,145000,101500,1,3,46,494273
SYN42000124,18,enlig,ressourceforloeb,145000,101500,0,2,52,126336
SYN42000125,25,samlevende,ressourceforloeb,110000,77000,1,1,45,26195
SYN42000126,23,enlig,foertidspension,245000,151900,1,0,47,236609
SYN42000127,20,enlig,ressourceforloeb,145000,101500,0,3,50,428774
SYN42000128,20,enlig,foertidspension,245000,151900,0,0,50,-10000
SYN42000129,26,enlig,foertidspension,245000,151900,0,0,44,-10000
SYN42000130,21,enlig,ressourceforloeb,145000,101500,0,5,49,108589
SYN42000131,30,samlevende,foertidspension,208000,128960,0,0,40,-10000
SYN42000132,26,samlevende,ressourceforloeb,110000,77000,0,2,44,46638
SYN42000133,23,samlevende,ressourceforloeb,110000,77000,0,3,47,125215
SYN42000134,26,samlevende,foertidspension,208000,128960,1,0,44,53116
SYN42000135,18,enlig,foertidspension,245000,151900,0,0,52,-10000
SYN42000136,30,enlig,foertidspension,245000,151900,0,0,40,-10000
SYN42000137,25,samlevende,ressourceforloeb,110000,77000,1,2,45,248597
SYN42000138,28,enlig,foertidspension,245000,151900,0,0,42,-10000
SYN42000139,19,samlevende,ressourceforloeb,110000,77000,0,1,51,-20164
SYN42000140,25,samlevende,ressourceforloeb,110000,77000,0,2,45,173656
SYN42000141,25,enlig,ressourceforloeb,145000,101500,0,5,45,436613
SYN42000142,30,enlig,foertidspension,245000,151900,1,0,40,183934
SYN42000143,26,enlig,ressourceforloeb,145000,101500,0,1,44,-218834
SYN42000144,25,enlig,foertidspension,245000,151900,0,0,45,-10000
SYN42000145,22,enlig,foertidspension,245000,151900,1,0,48,220645
SYN42000146,23,enlig,foertidspension,245000,151900,1,0,47,171335
SYN42000147,26,samlevende,foertidspension,208000,128960,0,0,44,-10000
SYN42000148,25,samlevende,foertidspension,208000,128960,0,0,45,-10000
SYN42000149,18,samlevende,ressourceforloeb,110000,77000,1,5,52,408313
SYN42000150,29,enlig,ressourceforloeb,145000,101500,1,1,41,-97584
SYN42000151,30,enlig,foertidspension,245000,151900,1,0,40,32938
SYN42000152,20,enlig,ressourceforloeb,145000,101500,0,4,50,-53022
SYN42000153,26,enlig,ressourceforloeb,145000,101500,0,4,44,89178
SYN42000154,20,samlevende,ressourceforloeb,110000,77000,0,4,50,256366
SYN42000155,27,enlig,ressourceforloeb,145000,101500,1,2,43,142205
SYN42000156,22,enlig,ressourceforloeb,145000,101500,1,5,48,310837
SYN42000157,27,samlevende,ressourceforloeb,110000,77000,0,1,43,-63628
SYN42000158,28,enlig,foertidspension,245000,151900,1,0,42,183851
SYN42000159,28,enlig,ressourceforloeb,145000,101500,0,5,42,-23082
SYN42000160,20,enlig,foertidspension,245000,151900,1,0,50,198384
SYN42000161,30,samlevende,foertidspension,208000,128960,1,0,40,107236
SYN42000162,22,samlevende,ressourceforloeb,110000,77000,1,1,48,338676
SYN42000163,18,enlig,foertidspension,245000,151900,0,0,52,-10000
SYN42000164,26,samlevende,foertidspension,208000,128960,1,0,44,312603
SYN42000165,24,samlevende,foertidspension,208000,128960,0,0,46,-10000
SYN42000166,29,samlevende,ressourceforloeb,110000,77000,1,4,41,139721
SYN42000167,29,enlig,ressourceforloeb,145000,101500,0,1,41,36351
SYN42000168,23,enlig,ressourceforloeb,145000,101500,1,5,47,338739
SYN42000169,30,samlevende,foertidspension,208000,128960,0,0,40,-10000
SYN42000170,23,enlig,foertidspension,245000,151900,0,0,47,-10000
SYN42000171,26,samlevende,foertidspension,208000,128960,0,0,44,-10000
SYN42000172,22,samlevende,foertidspension,208000,128960,0,0,48,-10000
SYN42000173,30,enlig,foertidspension,245000,151900,0,0,40,-10000
SYN42000174,21,samlevende,foertidspension,208000,128960,1,0,49,243651
SYN42000175,18,samlevende,ressourceforloeb,110000,77000,0,2,52,183275
SYN42000176,25,samlevende,foertidspension,208000,128960,0,0,45,-10000
SYN42000177,30,enlig,ressourceforloeb,145000,101500,0,2,40,236060
SYN42000178,29,samlevende,ressourceforloeb,110000,77000,0,1,41,-29701
SYN42000179,28,enlig,foertidspension,245000,151900,1,0,42,171884
SYN42000180,29,samlevende,foertidspension,208000,128960,1,0,41,171327
SYN42000181,30,samlevende,ressourceforloeb,110000,77000,0,1,40,293605
SYN42000182,26,samlevende,ressourceforloeb,110000,77000,1,1,44,70342
SYN42000183,23,enlig,ressourceforloeb,145000,101500,1,1,47,-167892
SYN42000184,28,enlig,ressourceforloeb,145000,101500,1,1,42,39268
SYN42000185,27,enlig,ressourceforloeb,145000,101500,0,4,43,54907
SYN42000186,24,enlig,foertidspension,245000,151900,0,0,46,-10000
SYN42000187,19,enlig,foertidspension,245000,151900,1,0,51,112195
SYN42000188,28,samlevende,ressourceforloeb,110000,77000,1,1,42,56381
SYN42000189,22,enlig,ressourceforloeb,145000,101500,1,5,48,258160
SYN42000190,30,samlevende,ressourceforloeb,110000,77000,1,4,40,354300
SYN42000191,22,samlevende,ressourceforloeb,110000,77000,0,2,48,254851
SYN42000192,20,enlig,foertidspension,245000,151900,1,0,50,148624
SYN42000193,29,samlevende,foertidspension,208000,128960,1,0,41,136398
SYN42000194,20,samlevende,foertidspension,208000,128960,0,0,50,-10000
SYN42000195,21,enlig,ressourceforloeb,145000,101500,1,3,49,490600
SYN42000196,26,enlig,foertidspension,245000,151900,0,0,44,-10000
SYN42000197,29,samlevende,ressourceforloeb,110000,77000,1,4,41,106518
SYN42000198,21,samlevende,ressourceforloeb,110000,77000,1,2,49,384702
SYN42000199,23,samlevende,foertidspension,208000,128960,1,0,47,349265
SYN42000200,28,samlevende,foertidspension,208000,128960,1,0,42,98817
SYN42000201,30,samlevende,foertidspension,208000,128960,0,0,40,-10000
SYN42000202,25,enlig,foertidspension,245000,151900,0,0,45,-10000
SYN42000203,20,samlevende,foertidspension,208000,128960,0,0,50,-10000
SYN42000204,18,enlig,foertidspension,245000,151900,0,0,52,-10000
SYN42000205,22,samlevende,ressourceforloeb,110000,77000,0,5,48,345895
SYN42000206,20,enlig,ressourceforloeb,145000,101500,0,2,50,69965
SYN42000207,27,enlig,ressourceforloeb,145000,101500,0,5,43,341073
SYN42000208,20,samlevende,ressourceforloeb,110000,77000,0,4,50,105741
SYN42000209,25,enlig,ressourceforloeb,145000,101500,0,3,45,-24278
SYN42000210,28,samlevende,ressourceforloeb,110000,77000,1,5,42,422683
SYN42000211,26,enlig,foertidspension,245000,151900,0,0,44,-10000
SYN42000212,21,samlevende,foertidspension,208000,128960,1,0,49,194751
SYN42000213,29,samlevende,foertidspension,208000,128960,1,0,41,112089
SYN42000214,28,enlig,ressourceforloeb,145000,101500,1,1,42,272089
SYN42000215,28,samlevende,foertidspension,208000,128960,0,0,42,-10000
SYN42000216,20,enlig,ressourceforloeb,145000,101500,0,1,50,14445
SYN42000217,20,samlevende,ressourceforloeb,110000,77000,1,2,50,410361
SYN42000218,30,samlevende,ressourceforloeb,110000,77000,1,5,40,13718
SYN42000219,24,samlevende,ressourceforloeb,110000,77000,0,4,46,395579
SYN42000220,23,enlig,ressourceforloeb,145000,101500,0,4,47,179306
SYN42000221,25,enlig,foertidspension,245000,151900,1,0,45,134787
SYN42000222,27,samlevende,foertidspension,208000,128960,0,0,43,-10000
SYN42000223,30,samlevende,foertidspension,208000,128960,1,0,40,210795
SYN42000224,23,enlig,ressourceforloeb,145000,101500,0,3,47,55605
SYN42000225,30,enlig,foertidspension,245000,151900,0,0,40,-10000
SYN42000226,18,enlig,foertidspension,245000,151900,1,0,52,184987
SYN42000227,26,samlevende,ressourceforloeb,110000,77000,0,5,44,4411
SYN42000228,27,enlig,foertidspension,245000,151900,1,0,43,197364
SYN42000229,20,enlig,ressourceforloeb,145000,101500,0,3,50,111801
SYN42000230,20,samlevende,ressourceforloeb,110000,77000,0,1,50,177770
SYN42000231,24,enlig,ressourceforloeb,145000,101500,1,4,46,277176
SYN42000232,30,samlevende,foertidspension,208000,128960,0,0,40,-10000
SYN42000233,26,enlig,ressourceforloeb,145000,101500,0,2,44,-176456
SYN42000234,30,samlevende,ressourceforloeb,110000,77000,1,4,40,374032
SYN42000235,29,samlevende,ressourceforloeb,110000,77000,1,1,41,61609
SYN42000236,25,samlevende,foertidspension,208000,128960,1,0,45,225531
SYN42000237,28,enlig,ressourceforloeb,145000,101500,0,5,42,201247
SYN42000238,18,enlig,ressourceforloeb,145000,101500,0,3,52,-145562
SYN42000239,20,samlevende,ressourceforloeb,110000,77000,1,1,50,106123
SYN42000240,29,enlig,foertidspension,245000,151900,0,0,41,-10000
SYN42000241,29,enlig,foertidspension,245000,151900,0,0,41,-10000
SYN42000242,22,enlig,foertidspension,245000,151900,1,0,48,201081
SYN42000243,26,samlevende,ressourceforloeb,110000,77000,0,2,44,131090
SYN42000244,27,samlevende,ressourceforloeb,110000,77000,0,1,43,256778
SYN42000245,29,samlevende,foertidspension,208000,128960,0,0,41,-10000
SYN42000246,27,samlevende,ressourceforloeb,110000,77000,0,1,43,70546
SYN42000247,24,enlig,foertidspension,245000,151900,1,0,46,284288
SYN42000248,24,enlig,foertidspension,245000,151900,1,0,46,172013
SYN42000249,24,enlig,ressourceforloeb,145000,101500,0,1,46,-51548
SYN42000250,27,samlevende,foertidspension,208000,128960,0,0,43,-10000
SYN42000251,29,enlig,foertidspension,245000,151900,1,0,41,199846
SYN42000252,25,samlevende,ressourceforloeb,110000,77000,0,3,45,-45290
SYN42000253,22,samlevende,ressourceforloeb,110000,77000,1,2,48,168164
SYN42000254,22,enlig,ressourceforloeb,145000,101500,1,5,48,432750
SYN42000255,28,samlevende,foertidspension,208000,128960,1,0,42,81583
SYN42000256,29,enlig,ressourceforloeb,145000,101500,0,5,41,161830
SYN42000257,20,samlevende,ressourceforloeb,110000,77000,1,3,50,453071
SYN42000258,19,samlevende,foertidspension,208000,128960,0,0,51,-10000
SYN42000259,26,samlevende,ressourceforloeb,110000,77000,1,1,44,-19469
SYN42000260,20,enlig,ressourceforloeb,145000,101500,1,1,50,415757
SYN42000261,29,enlig,foertidspension,245000,151900,1,0,41,147529
SYN42000262,23,enlig,ressourceforloeb,145000,101500,1,2,47,285061
SYN42000263,20,enlig,ressourceforloeb,145000,101500,1,4,50,62897
SYN42000264,30,enlig,ressourceforloeb,145000,101500,0,2,40,107548
SYN42000265,21,enlig,ressourceforloeb,145000,101500,0,4,49,-5513
SYN42000266,23,samlevende,ressourceforloeb,110000,77000,1,2,47,276814
SYN42000267,20,enlig,foertidspension,245000,151900,1,0,50,211568
SYN42000268,20,enlig,foertidspension,245000,151900,0,0,50,-10000
SYN42000269,18,samlevende,ressourceforloeb,110000,77000,1,2,52,161709
SYN42000270,19,samlevende,foertidspension,208000,128960,1,0,51,178453
SYN42000271,21,samlevende,foertidspension,208000,128960,0,0,49,-10000
SYN42000272,19,samlevende,foertidspension,208000,128960,0,0,51,-10000
SYN42000273,26,samlevende,foertidspension,208000,128960,0,0,44,-10000
SYN42000274,27,samlevende,foertidspension,208000,128960,0,0,43,-10000
SYN42000275,24,enlig,foertidspension,245000,151900,0,0,46,-10000
SYN42000276,23,samlevende,ressourceforloeb,110000,77000,0,5,47,158921
SYN42000277,25,enlig,foertidspension,245000,151900,0,0,45,-10000
SYN42000278,29,enlig,ressourceforloeb,145000,101500,0,1,41,-110753
SYN42000279,29,enlig,ressourceforloeb,145000,101500,1,3,41,435592
SYN42000280,18,enlig,foertidspension,245000,151900,0,0,52,-10000
SYN42000281,21,samlevende,ressourceforloeb,110000,77000,1,1,49,-32879
SYN42000282,22,enlig,ressourceforloeb,145000,101500,1,4,48,374300
SYN42000283,22,enlig,ressourceforloeb,145000,101500,1,1,48,187874
SYN42000284,26,enlig,ressourceforloeb,145000,101500,1,4,44,209194
SYN42000285,24,samlevende,foertidspension,208000,128960,1,0,46,150942
SYN42000286,19,enlig,foertidspension,245000,151900,0,0,51,-10000
SYN42000287,24,samlevende,ressourceforloeb,110000,77000,1,4,46,190504
SYN42000288,26,samlevende,ressourceforloeb,110000,77000,0,2,44,106530
SYN42000289,20,enlig,ressourceforloeb,145000,101500,1,4,50,251271
SYN42000290,29,samlevende,ressourceforloeb,110000,77000,1,4,41,266249
SYN42000291,19,enlig,foertidspension,245000,151900,0,0,51,-10000
SYN42000292,30,enlig,foertidspension,245000,151900,0,0,40,-10000
SYN42000293,20,samlevende,ressourceforloeb,110000,77000,1,4,50,294805
SYN42000294,29,samlevende,ressourceforloeb,110000,77000,0,4,41,304171
SYN42000295,30,enlig,foertidspension,245000,151900,0,0,40,-10000
SYN42000296,30,samlevende,foertidspension,208000,128960,0,0,40,-10000
SYN42000297,29,enlig,ressourceforloeb,145000,101500,1,5,41,391932
SYN42000298,28,samlevende,ressourceforloeb,110000,77000,1,5,42,239379
SYN42000299,27,samlevende,ressourceforloeb,110000,77000,1,4,43,209607
SYN42000300,28,samlevende,foertidspension,208000,128960,0,0,42,-10000
SYN42000301,20,samlevende,ressourceforloeb,110000,77000,0,5,50,287267
SYN42000302,26,enlig,ressourceforloeb,145000,101500,0,2,44,-25238
SYN42000303,26,samlevende,foertidspension,208000,128960,1,0,44,225851
SYN42000304,29,samlevende,foertidspension,208000,128960,1,0,41,221138
SYN42000305,25,samlevende,ressourceforloeb,110000,77000,1,2,45,88344
SYN42000306,24,enlig,ressourceforloeb,145000,101500,0,5,46,119411
SYN42000307,27,enlig,ressourceforloeb,145000,101500,1,2,43,-73143
SYN42000308,22,enlig,foertidspension,245000,151900,0,0,48,-10000
SYN42000309,20,enlig,ressourceforloeb,145000,101500,1,3,50,227115
SYN42000310,25,enlig,foertidspension,245000,151900,1,0,45,256775
SYN42000311,24,enlig,foertidspension,245000,151900,1,0,46,223193
SYN42000312,22,samlevende,foertidspension,208000,128960,1,0,48,102378
SYN42000313,24,enlig,foertidspension,245000,151900,1,0,46,318187
SYN42000314,24,samlevende,ressourceforloeb,110000,77000,0,3,46,129115
SYN42000315,23,enlig,ressourceforloeb,145000,101500,0,1,47,167413
SYN42000316,24,samlevende,foertidspension,208000,128960,0,0,46,-10000
SYN42000317,27,enlig,ressourceforloeb,145000,101500,1,1,43,84778
SYN42000318,23,enlig,ressourceforloeb,145000,101500,1,2,47,489523
SYN42000319,30,samlevende,ressourceforloeb,110000,77000,1,5,40,263753
SYN42000320,30,samlevende,ressourceforloeb,110000,77000,1,1,40,386179
SYN42000321,25,enlig,ressourceforloeb,145000,101500,0,4,45,299033
SYN42000322,23,enlig,foertidspension,245000,151900,1,0,47,145969
SYN42000323,26,samlevende,foertidspension,208000,128960,1,0,44,205242
SYN42000324,29,samlevende,foertidspension,208000,128960,0,0,41,-10000
SYN42000325,27,enlig,foertidspension,245000,151900,0,0,43,-10000
SYN42000326,29,enlig,ressourceforloeb,145000,101500,0,1,41,137296
SYN42000327,26,enlig,foertidspension,245000,151900,0,0,44,-10000
SYN42000328,27,samlevende,foertidspension,208000,128960,1,0,43,36397
SYN42000329,23,enlig,ressourceforloeb,145000,101500,1,5,47,358020
SYN42000330,28,enlig,foertidspension,245000,151900,1,0,42,334593
SYN42000331,21,samlevende,ressourceforloeb,110000,77000,0,4,49,185265
SYN42000332,28,enlig,ressourceforloeb,145000,101500,1,4,42,262781
SYN42000333,29,enlig,ressourceforloeb,145000,101500,1,4,41,251911
SYN42000334,20,enlig,ressourceforloeb,145000,101500,0,4,50,-147131
SYN42000335,27,enlig,ressourceforloeb,145000,101500,1,3,43,99681
SYN42000336,19,enlig,foertidspension,245000,151900,0,0,51,-10000
SYN42000337,28,enlig,foertidspension,245000,151900,0,0,42,-10000
SYN42000338,19,samlevende,ressourceforloeb,110000,77000,0,1,51,-151740
SYN42000339,30,samlevende,foertidspension,208000,128960,0,0,40,-10000
SYN42000340,20,enlig,ressourceforloeb,145000,101500,1,4,50,260166
SYN42000341,30,samlevende,foertidspension,208000,128960,0,0,40,-10000
SYN42000342,29,enlig,ressourceforloeb,145000,101500,0,2,41,382475
SYN42000343,26,samlevende,ressourceforloeb,110000,77000,0,3,44,204872
SYN42000344,28,enlig,foertidspension,245000,151900,0,0,42,-10000
SYN42000345,29,samlevende,foertidspension,208000,128960,0,0,41,-10000
SYN42000346,30,enlig,foertidspension,245000,151900,0,0,40,-10000
SYN42000347,22,samlevende,foertidspension,208000,128960,1,0,48,167482
SYN42000348,26,enlig,foertidspension,245000,151900,0,0,44,-10000
SYN42000349,19,samlevende,ressourceforloeb,110000,77000,1,3,51,214715
SYN42000350,27,enlig,ressourceforloeb,145000,101500,0,2,43,102296
SYN42000351,21,samlevende,ressourceforloeb,110000,77000,1,5,49,486857
SYN42000352,26,enlig,ressourceforloeb,145000,101500,1,3,44,240234
SYN42000353,26,samlevende,ressourceforloeb,110000,77000,0,4,44,367405
SYN42000354,25,samlevende,ressourceforloeb,110000,77000,0,3,45,167310
SYN42000355,26,samlevende,ressourceforloeb,110000,77000,1,2,44,442393
SYN42000356,28,enlig,foertidspension,245000,151900,1,0,42,179890
SYN42000357,29,enlig,ressourceforloeb,145000,101500,1,2,41,306501
SYN42000358,25,enlig,foertidspension,245000,151900,0,0,45,-10000
SYN42000359,26,enlig,foertidspension,245000,151900,0,0,44,-10000
SYN42000360,30,samlevende,ressourceforloeb,110000,77000,1,1,40,281646
SYN42000361,20,samlevende,ressourceforloeb,110000,77000,1,1,50,52248
SYN42000362,20,samlevende,foertidspension,208000,128960,0,0,50,-10000
SYN42000363,19,enlig,foertidspension,245000,151900,1,0,51,245554
SYN42000364,27,samlevende,ressourceforloeb,110000,77000,1,2,43,209800
SYN42000365,24,samlevende,ressourceforloeb,110000,77000,0,5,46,-27358
SYN42000366,28,samlevende,foertidspension,208000,128960,0,0,42,-10000
SYN42000367,27,enlig,foertidspension,245000,151900,0,0,43,-10000
SYN42000368,23,enlig,ressourceforloeb,145000,101500,0,4,47,183636
SYN42000369,30,samlevende,ressourceforloeb,110000,77000,1,1,40,143064
SYN42000370,28,enlig,foertidspension,245000,151900,0,0,42,-10000
SYN42000371,22,enlig,ressourceforloeb,145000,101500,0,4,48,90831
SYN42000372,24,samlevende,foertidspension,208000,128960,1,0,46,114704
SYN42000373,23,samlevende,ressourceforloeb,110000,77000,1,4,47,117990
SYN42000374,21,samlevende,foertidspension,208000,128960,1,0,49,57748
SYN42000375,20,samlevende,ressourceforloeb,110000,77000,1,2,50,457543
SYN42000376,30,enlig,ressourceforloeb,145000,101500,0,4,40,212065
SYN42000377,25,enlig,foertidspension,245000,151900,1,0,45,119310
SYN42000378,24,enlig,ressourceforloeb,145000,101500,0,4,46,176971
SYN42000379,28,samlevende,foertidspension,208000,128960,0,0,42,-10000
