year,iso_code,country,fire_count,burned_area_km2,fire_intensity_index
2013,BGR,Bulgaria,104,1368.1,41.4
2014,BGR,Bulgaria,110,1496.9,44.0
2015,BGR,Bulgaria,109,1489.6,43.5
2016,BGR,Bulgaria,99,1315.8,39.6
2017,BGR,Bulgaria,86,1094.4,34.5
2018,BGR,Bulgaria,77,950.2,30.9
2019,BGR,Bulgaria,76,941.1,30.4
2020,BGR,Bulgaria,82,1051.8,32.6
2021,BGR,Bulgaria,89,1191.2,35.4
2022,BGR,Bulgaria,91,1245.9,36.4
2023,BGR,Bulgaria,86,1165.2,34.5
2024,BGR,Bulgaria,76,991.8,30.5
2000,CHN,China,551,7217.4,73.4
2001,CHN,China,496,6227.4,66.1
2002,CHN,China,471,5793.8,62.9
2003,CHN,China,497,6213.1,66.3
2004,CHN,China,559,7281.4,74.5
2005,CHN,China,620,8390.8,82.7
2006,CHN,China,643,8805.5,85.7
2007,CHN,China,614,8229.9,81.9
2008,CHN,China,555,7132.0,74.0
2009,CHN,China,507,6284.0,67.6
2010,CHN,China,503,6203.1,67.1
2011,CHN,China,550,6987.3,73.3
2012,CHN,China,620,8226.5,82.7
2013,CHN,China,671,9164.7,89.4
2014,CHN,China,671,9139.0,89.4
2015,CHN,China,622,8197.1,83.0
2016,CHN,China,559,7055.2,74.5
2017,CHN,China,525,6462.7,70.0
2018,CHN,China,545,6783.9,72.7
2019,CHN,China,610,7896.1,81.3
2020,CHN,China,680,9164.6,90.7
2021,CHN,China,713,9768.1,95.0
2022,CHN,China,688,9265.6,91.7
2023,CHN,China,624,8068.9,83.3
2024,CHN,China,566,7040.7,75.4
2000,CYP,Cyprus,134,1671.0,53.6
2001,CYP,Cyprus,127,1562.7,50.8
2002,CYP,Cyprus,133,1674.7,53.2
2003,CYP,Cyprus,146,1919.0,58.5
2004,CYP,Cyprus,156,2122.0,62.5
2005,CYP,Cyprus,155,2118.8,62.1
2006,CYP,Cyprus,142,1888.8,56.9
2007,CYP,Cyprus,125,1592.1,49.9
2008,CYP,Cyprus,112,1382.5,44.8
2009,CYP,Cyprus,111,1373.9,44.3
2010,CYP,Cyprus,119,1525.1,47.7
2011,CYP,Cyprus,130,1738.6,52.1
2012,CYP,Cyprus,135,1848.0,53.9
2013,CYP,Cyprus,129,1748.7,51.5
2014,CYP,Cyprus,115,1502.1,45.9
2015,CYP,Cyprus,100,1252.7,40.1
2016,CYP,Cyprus,93,1143.9,37.2
2017,CYP,Cyprus,95,1190.2,38.2
2018,CYP,Cyprus,104,1358.6,41.6
2019,CYP,Cyprus,111,1504.8,44.5
2020,CYP,Cyprus,111,1519.4,44.4
2021,CYP,Cyprus,102,1364.0,40.8
2022,CYP,Cyprus,89,1140.5,35.5
2023,CYP,Cyprus,78,965.4,31.4
2024,CYP,Cyprus,76,938.2,30.2
2000,CZE,Czechia,65,801.4,26.0
2001,CZE,Czechia,69,875.9,27.7
2002,CZE,Czechia,76,1007.6,30.4
2003,CZE,Czechia,80,1092.3,32.1
2004,CZE,Czechia,78,1062.8,31.4
2005,CZE,Czechia,71,936.5,28.4
2006,CZE,Czechia,62,783.1,24.9
2007,CZE,Czechia,57,701.8,22.7
2008,CZE,Czechia,57,709.1,22.9
2009,CZE,Czechia,62,801.8,24.9
2010,CZE,Czechia,68,915.9,27.1
2011,CZE,Czechia,69,945.3,27.6
2012,CZE,Czechia,65,875.9,26.0
2013,CZE,Czechia,57,737.7,22.9
2014,CZE,Czechia,50,622.3,20.1
2015,CZE,Czechia,48,590.9,19.1
2016,CZE,Czechia,50,631.1,20.0
2017,CZE,Czechia,55,724.9,21.8
2018,CZE,Czechia,58,790.0,23.1
2019,CZE,Czechia,57,778.5,22.7
2020,CZE,Czechia,51,676.6,20.5
2021,CZE,Czechia,45,571.6,17.8
2022,CZE,Czechia,40,493.3,16.0
2023,CZE,Czechia,39,483.4,15.8
2024,CZE,Czechia,42,539.8,16.9
2000,DEU,Germany,82,1050.0,32.7
2001,DEU,Germany,90,1202.8,35.8
2002,DEU,Germany,93,1272.9,37.3
2003,DEU,Germany,90,1220.7,35.8
2004,DEU,Germany,80,1045.9,32.1
2005,DEU,Germany,70,877.5,28.1
2006,DEU,Germany,65,799.5,26.2
2007,DEU,Germany,67,838.8,27.0
2008,DEU,Germany,74,965.8,29.5
2009,DEU,Germany,79,1070.4,31.8
2010,DEU,Germany,80,1095.3,31.9
2011,DEU,Germany,74,990.3,29.6
2012,DEU,Germany,65,833.7,25.9
2013,DEU,Germany,58,718.2,23.0
2014,DEU,Germany,56,691.1,22.3
2015,DEU,Germany,59,750.9,23.7
2016,DEU,Germany,65,864.0,25.9
2017,DEU,Germany,68,929.3,27.1
2018,DEU,Germany,65,884.5,26.1
2019,DEU,Germany,58,762.9,23.4
2020,DEU,Germany,51,642.6,20.3
2021,DEU,Germany,46,566.1,18.5
2022,DEU,Germany,47,585.8,18.7
2023,DEU,Germany,50,648.5,20.2
2024,DEU,Germany,54,728.8,21.7
2000,DNK,Denmark,60,807.6,24.0
2001,DNK,Denmark,62,849.4,24.6
2002,DNK,Denmark,58,782.1,23.3
2003,DNK,Denmark,52,673.6,20.7
2004,DNK,Denmark,46,572.9,18.2
2005,DNK,Denmark,43,529.3,17.3
2006,DNK,Denmark,45,567.6,18.2
2007,DNK,Denmark,50,658.4,20.0
2008,DNK,Denmark,53,721.6,21.2
2009,DNK,Denmark,52,710.4,21.0
2010,DNK,Denmark,48,637.3,19.2
2011,DNK,Denmark,42,534.0,16.7
2012,DNK,Denmark,38,468.7,15.1
2013,DNK,Denmark,37,458.4,14.9
2014,DNK,Denmark,40,513.6,16.1
2015,DNK,Denmark,44,589.4,17.5
2016,DNK,Denmark,45,616.2,18.0
2017,DNK,Denmark,43,582.2,17.1
2018,DNK,Denmark,38,495.4,15.2
2019,DNK,Denmark,33,412.8,13.2
2020,DNK,Denmark,31,381.3,12.3
2021,DNK,Denmark,32,401.5,12.7
2022,DNK,Denmark,34,445.0,13.8
2023,DNK,Denmark,37,502.2,14.6
2024,DNK,Denmark,36,492.6,14.5
2000,ESP,Spain,222,3039.7,88.8
2001,ESP,Spain,207,2772.2,82.6
2002,ESP,Spain,182,2336.3,72.8
2003,ESP,Spain,162,2006.8,64.9
2004,ESP,Spain,157,1936.8,62.9
2005,ESP,Spain,168,2136.4,67.1
2006,ESP,Spain,184,2443.8,73.7
2007,ESP,Spain,194,2650.6,77.5
2008,ESP,Spain,188,2559.3,75.3
2009,ESP,Spain,170,2238.1,67.9
2010,ESP,Spain,148,1866.2,59.3
2011,ESP,Spain,136,1673.9,54.3
2012,ESP,Spain,137,1706.5,54.9
2013,ESP,Spain,149,1930.8,59.8
2014,ESP,Spain,162,2185.0,64.6
2015,ESP,Spain,164,2246.7,65.6
2016,ESP,Spain,153,2058.9,61.3
2017,ESP,Spain,135,1743.8,53.9
2018,ESP,Spain,118,1466.9,47.4
2019,ESP,Spain,112,1379.3,44.9
2020,ESP,Spain,118,1492.0,47.1
2021,ESP,Spain,128,1690.2,51.4
2022,ESP,Spain,135,1840.4,54.0
2023,ESP,Spain,132,1801.6,52.6
2024,ESP,Spain,119,1575.9,47.4
2000,EST,Estonia,66,877.0,26.4
2001,EST,Estonia,58,738.0,23.2
2002,EST,Estonia,52,641.6,20.9
2003,EST,Estonia,52,644.0,20.8
2004,EST,Estonia,56,718.4,22.5
2005,EST,Estonia,61,816.5,24.6
2006,EST,Estonia,64,876.2,25.5
2007,EST,Estonia,61,826.4,24.3
2008,EST,Estonia,54,704.6,21.7
2009,EST,Estonia,48,600.8,19.0
2010,EST,Estonia,44,541.2,17.7
2011,EST,Estonia,46,576.8,18.3
2012,EST,Estonia,50,653.9,20.1
2013,EST,Estonia,54,732.5,21.5
2014,EST,Estonia,54,739.0,21.5
2015,EST,Estonia,49,654.7,19.8
2016,EST,Estonia,43,550.4,17.3
2017,EST,Estonia,38,470.1,15.4
2018,EST,Estonia,37,456.9,14.9
2019,EST,Estonia,40,510.1,15.9
2020,EST,Estonia,43,572.6,17.3
2021,EST,Estonia,45,615.3,17.9
2022,EST,Estonia,43,584.6,17.2
2023,EST,Estonia,38,498.9,15.3
2024,EST,Estonia,33,415.1,13.3
2000,FIN,Finland,65,820.2,25.9
2001,FIN,Finland,59,726.3,23.7
2002,FIN,Finland,60,746.9,24.0
2003,FIN,Finland,66,854.5,26.2
2004,FIN,Finland,71,957.0,28.5
2005,FIN,Finland,73,1000.1,29.1
2006,FIN,Finland,68,915.7,27.4
2007,FIN,Finland,61,788.7,24.2
2008,FIN,Finland,53,659.2,21.4
2009,FIN,Finland,51,628.0,20.3
2010,FIN,Finland,54,682.3,21.4
2011,FIN,Finland,59,778.4,23.5
2012,FIN,Finland,62,844.9,24.9
2013,FIN,Finland,61,832.8,24.5
2014,FIN,Finland,56,742.2,22.2
2015,FIN,Finland,48,609.1,19.4
2016,FIN,Finland,44,542.4,17.4
2017,FIN,Finland,43,533.3,17.3
2018,FIN,Finland,47,604.7,18.7
2019,FIN,Finland,51,684.2,20.2
2020,FIN,Finland,52,712.2,20.7
2021,FIN,Finland,49,662.6,19.6
2022,FIN,Finland,43,559.4,17.3
2023,FIN,Finland,38,474.6,15.0
2024,FIN,Finland,35,430.6,14.0
2000,FRA,Kosovo,103,1266.9,41.3
2001,FRA,Kosovo,107,1340.7,42.7
2002,FRA,Kosovo,117,1528.7,46.9
2003,FRA,Kosovo,126,1708.4,50.6
2004,FRA,Kosovo,127,1738.4,50.8
2005,FRA,Kosovo,118,1577.7,47.0
2006,FRA,Kosovo,103,1319.6,41.3
2007,FRA,Kosovo,92,1138.5,36.9
2008,FRA,Kosovo,90,1111.1,35.9
2009,FRA,Kosovo,96,1223.1,38.3
2010,FRA,Kosovo,105,1397.0,42.0
2011,FRA,Kosovo,110,1503.8,44.0
2012,FRA,Kosovo,106,1441.7,42.5
2013,FRA,Kosovo,95,1248.3,38.1
2014,FRA,Kosovo,83,1044.8,33.3
2015,FRA,Kosovo,76,935.1,30.5
2016,FRA,Kosovo,77,960.4,30.9
2017,FRA,Kosovo,84,1090.7,33.6
2018,FRA,Kosovo,91,1229.0,36.2
2019,FRA,Kosovo,91,1246.6,36.5
2020,FRA,Kosovo,85,1142.2,33.9
2021,FRA,Kosovo,74,954.0,29.7
2022,FRA,Kosovo,65,807.1,26.1
2023,FRA,Kosovo,62,763.9,24.8
2024,FRA,Kosovo,65,823.3,26.0
2000,GRC,Greece,176,2221.9,70.3
2001,GRC,Greece,193,2544.2,77.4
2002,GRC,Greece,206,2806.1,82.5
2003,GRC,Greece,204,2786.0,81.5
2004,GRC,Greece,186,2467.3,74.4
2005,GRC,Greece,163,2070.2,65.2
2006,GRC,Greece,147,1812.7,58.9
2007,GRC,Greece,147,1822.3,58.6
2008,GRC,Greece,159,2043.8,63.5
2009,GRC,Greece,173,2319.4,69.2
2010,GRC,Greece,179,2451.4,71.4
2011,GRC,Greece,170,2300.3,67.9
2012,GRC,Greece,151,1966.3,60.3
2013,GRC,Greece,132,1649.8,52.8
2014,GRC,Greece,123,1513.0,49.4
2015,GRC,Greece,128,1607.5,51.1
2016,GRC,Greece,140,1834.4,55.8
2017,GRC,Greece,149,2023.5,59.6
2018,GRC,Greece,148,2024.7,59.1
2019,GRC,Greece,135,1800.7,54.2
2020,GRC,Greece,118,1507.6,47.2
2021,GRC,Greece,105,1297.7,41.9
2022,GRC,Greece,102,1260.7,40.8
2023,GRC,Greece,108,1379.8,43.4
2024,GRC,Greece,118,1573.9,47.1
2000,HRV,Croatia,154,2047.3,61.4
2001,HRV,Croatia,161,2200.4,64.6
2002,HRV,Croatia,157,2136.2,62.8
2003,HRV,Croatia,142,1867.5,56.6
2004,HRV,Croatia,124,1562.1,49.6
2005,HRV,Croatia,114,1402.9,45.6
2006,HRV,Croatia,116,1446.0,46.4
2007,HRV,Croatia,127,1647.5,50.6
2008,HRV,Croatia,137,1849.2,54.8
2009,HRV,Croatia,139,1904.2,55.7
2010,HRV,Croatia,130,1748.0,52.1
2011,HRV,Croatia,115,1483.9,45.9
2012,HRV,Croatia,101,1254.7,40.5
2013,HRV,Croatia,97,1194.9,38.7
2014,HRV,Croatia,102,1291.0,40.8
2015,HRV,Croatia,112,1480.5,44.6
2016,HRV,Croatia,118,1609.3,47.1
2017,HRV,Croatia,115,1568.9,46.0
2018,HRV,Croatia,104,1375.9,41.6
2019,HRV,Croatia,90,1140.0,36.1
2020,HRV,Croatia,81,998.0,32.6
2021,HRV,Croatia,81,1005.7,32.4
2022,HRV,Croatia,87,1121.5,34.9
2023,HRV,Croatia,94,1263.1,37.7
2024,HRV,Croatia,96,1315.1,38.3
2000,HUN,Hungary,100,1369.3,39.9
2001,HUN,Hungary,95,1286.2,38.1
2002,HUN,Hungary,85,1107.9,34.0
2003,HUN,Hungary,75,938.0,29.9
2004,HUN,Hungary,70,861.0,28.0
2005,HUN,Hungary,73,916.1,29.1
2006,HUN,Hungary,80,1047.3,31.9
2007,HUN,Hungary,86,1167.3,34.2
2008,HUN,Hungary,86,1176.8,34.2
2009,HUN,Hungary,79,1054.5,31.5
2010,HUN,Hungary,69,882.3,27.6
2011,HUN,Hungary,62,766.6,24.7
2012,HUN,Hungary,60,741.3,24.1
2013,HUN,Hungary,64,816.9,25.8
2014,HUN,Hungary,70,932.9,28.2
2015,HUN,Hungary,73,998.5,29.3
2016,HUN,Hungary,70,951.1,28.2
2017,HUN,Hungary,63,826.2,25.2
2018,HUN,Hungary,55,691.2,21.9
2019,HUN,Hungary,50,615.1,20.1
2020,HUN,Hungary,51,637.0,20.4
2021,HUN,Hungary,55,715.5,22.2
2022,HUN,Hungary,59,797.9,23.8
2023,HUN,Hungary,60,821.8,23.8
2024,HUN,Hungary,55,737.9,22.0
2000,IRL,Ireland,65,874.6,26.2
2001,IRL,Ireland,58,749.1,23.2
2002,IRL,Ireland,51,633.9,20.5
2003,IRL,Ireland,49,603.5,19.6
2004,IRL,Ireland,52,657.6,20.7
2005,IRL,Ireland,57,752.8,22.8
2006,IRL,Ireland,61,831.6,24.2
2007,IRL,Ireland,59,805.2,23.8
2008,IRL,Ireland,54,715.0,21.6
2009,IRL,Ireland,47,595.8,18.9
2010,IRL,Ireland,43,529.9,17.1
2011,IRL,Ireland,43,533.6,17.1
2012,IRL,Ireland,46,592.5,18.5
2013,IRL,Ireland,50,671.4,20.1
2014,IRL,Ireland,52,712.3,20.6
2015,IRL,Ireland,49,662.2,19.5
2016,IRL,Ireland,43,558.8,17.3
2017,IRL,Ireland,38,474.3,15.1
2018,IRL,Ireland,35,430.6,14.1
2019,IRL,Ireland,37,465.4,14.7
2020,IRL,Ireland,40,525.1,16.0
2021,IRL,Ireland,42,571.0,17.0
2022,IRL,Ireland,42,574.3,16.7
2023,IRL,Ireland,38,506.0,15.2
2024,IRL,Ireland,33,420.8,13.2
2000,ITA,Italy,151,1932.6,60.5
2001,ITA,Italy,135,1669.9,54.1
2002,ITA,Italy,132,1630.2,52.9
2003,ITA,Italy,142,1811.0,56.8
2004,ITA,Italy,156,2077.5,62.3
2005,ITA,Italy,163,2229.0,65.2
2006,ITA,Italy,158,2147.7,63.1
2007,ITA,Italy,142,1863.9,56.7
2008,ITA,Italy,124,1559.5,49.6
2009,ITA,Italy,114,1402.5,45.7
2010,ITA,Italy,116,1447.9,46.6
2011,ITA,Italy,127,1650.8,50.9
2012,ITA,Italy,137,1851.6,54.9
2013,ITA,Italy,139,1903.9,55.5
2014,ITA,Italy,129,1732.0,51.6
2015,ITA,Italy,113,1455.2,45.3
2016,ITA,Italy,100,1240.9,40.0
2017,ITA,Italy,96,1183.1,38.3
2018,ITA,Italy,101,1280.6,40.4
2019,ITA,Italy,110,1456.7,44.1
2020,ITA,Italy,116,1583.2,46.3
2021,ITA,Italy,112,1526.8,44.9
2022,ITA,Italy,101,1333.7,40.3
2023,ITA,Italy,87,1100.1,35.0
2024,ITA,Italy,79,972.9,31.5
2000,LTU,Lithuania,58,715.0,23.4
2001,LTU,Lithuania,58,719.4,23.4
2002,LTU,Lithuania,63,810.7,25.4
2003,LTU,Lithuania,69,925.9,27.7
2004,LTU,Lithuania,72,986.1,28.6
2005,LTU,Lithuania,68,919.5,27.2
2006,LTU,Lithuania,61,793.5,24.2
2007,LTU,Lithuania,53,661.9,21.3
2008,LTU,Lithuania,50,615.1,20.0
2009,LTU,Lithuania,52,653.6,20.8
2010,LTU,Lithuania,57,747.6,22.8
2011,LTU,Lithuania,61,828.9,24.4
2012,LTU,Lithuania,61,834.3,24.2
2013,LTU,Lithuania,56,746.3,22.2
2014,LTU,Lithuania,49,625.4,19.4
2015,LTU,Lithuania,43,531.2,17.3
2016,LTU,Lithuania,42,519.3,17.0
2017,LTU,Lithuania,45,575.5,18.2
2018,LTU,Lithuania,49,654.2,19.8
2019,LTU,Lithuania,51,697.9,20.5
2020,LTU,Lithuania,49,665.0,19.6
2021,LTU,Lithuania,43,562.8,17.4
2022,LTU,Lithuania,38,476.8,15.1
2023,LTU,Lithuania,35,430.5,13.9
2024,LTU,Lithuania,35,437.8,14.1
2000,LUX,Luxembourg,45,561.3,17.9
2001,LUX,Luxembourg,49,636.3,19.6
2002,LUX,Luxembourg,53,715.9,21.3
2003,LUX,Luxembourg,54,739.7,21.6
2004,LUX,Luxembourg,51,685.2,20.2
2005,LUX,Luxembourg,45,580.0,17.8
2006,LUX,Luxembourg,40,496.6,15.8
2007,LUX,Luxembourg,38,468.2,15.2
2008,LUX,Luxembourg,40,506.8,16.1
2009,LUX,Luxembourg,44,582.2,17.6
2010,LUX,Luxembourg,47,641.3,18.6
2011,LUX,Luxembourg,46,627.3,18.2
2012,LUX,Luxembourg,41,541.9,16.5
2013,LUX,Luxembourg,36,455.6,14.4
2014,LUX,Luxembourg,33,406.5,13.0
2015,LUX,Luxembourg,33,410.0,13.1
2016,LUX,Luxembourg,35,451.7,14.1
2017,LUX,Luxembourg,38,511.0,15.3
2018,LUX,Luxembourg,39,534.3,15.6
2019,LUX,Luxembourg,37,499.4,14.7
2020,LUX,Luxembourg,32,415.0,12.9
2021,LUX,Luxembourg,28,349.0,11.3
2022,LUX,Luxembourg,26,320.0,10.6
2023,LUX,Luxembourg,27,340.2,11.0
2024,LUX,Luxembourg,30,394.6,12.0
2000,LVA,Latvia,61,799.4,24.5
2001,LVA,Latvia,66,896.4,26.3
2002,LVA,Latvia,66,902.9,26.3
2003,LVA,Latvia,61,813.5,24.3
2004,LVA,Latvia,53,677.0,21.3
2005,LVA,Latvia,48,593.2,19.1
2006,LVA,Latvia,47,580.9,18.7
2007,LVA,Latvia,50,638.9,20.1
2008,LVA,Latvia,55,733.7,22.0
2009,LVA,Latvia,57,779.8,23.0
2010,LVA,Latvia,55,746.9,22.1
2011,LVA,Latvia,49,641.9,19.8
2012,LVA,Latvia,43,539.9,17.3
2013,LVA,Latvia,40,492.0,15.9
2014,LVA,Latvia,41,512.5,16.3
2015,LVA,Latvia,44,573.0,17.8
2016,LVA,Latvia,48,649.6,19.1
2017,LVA,Latvia,48,657.3,19.2
2018,LVA,Latvia,44,589.8,17.8
2019,LVA,Latvia,39,501.2,15.5
2020,LVA,Latvia,34,421.4,13.7
2021,LVA,Latvia,33,406.9,13.2
2022,LVA,Latvia,35,444.6,13.9
2023,LVA,Latvia,38,504.1,15.1
2024,LVA,Latvia,39,532.6,15.8
2000,MLT,Malta,51,695.6,20.3
2001,MLT,Malta,50,682.1,20.0
2002,MLT,Malta,45,595.2,18.2
2003,MLT,Malta,40,506.6,15.9
2004,MLT,Malta,36,443.5,14.5
2005,MLT,Malta,36,447.0,14.5
2006,MLT,Malta,39,502.8,15.8
2007,MLT,Malta,43,577.9,17.2
2008,MLT,Malta,44,602.7,17.6
2009,MLT,Malta,42,567.2,16.7
2010,MLT,Malta,37,480.3,14.8
2011,MLT,Malta,32,399.1,13.0
2012,MLT,Malta,31,381.4,12.2
2013,MLT,Malta,32,402.9,12.8
2014,MLT,Malta,35,460.0,14.0
2015,MLT,Malta,37,503.3,14.9
2016,MLT,Malta,37,505.8,14.7
2017,MLT,Malta,34,452.3,13.4
2018,MLT,Malta,29,369.4,11.7
2019,MLT,Malta,26,321.0,10.4
2020,MLT,Malta,26,321.8,10.2
2021,MLT,Malta,27,346.0,11.0
2022,MLT,Malta,30,401.2,11.9
2023,MLT,Malta,31,424.3,12.2
2024,MLT,Malta,29,393.2,11.6
2000,NLD,Netherlands,59,801.6,23.5
2001,NLD,Netherlands,53,695.0,21.1
2002,NLD,Netherlands,46,578.0,18.5
2003,NLD,Netherlands,43,529.0,17.1
2004,NLD,Netherlands,44,549.6,17.5
2005,NLD,Netherlands,48,624.6,19.2
2006,NLD,Netherlands,52,703.3,20.8
2007,NLD,Netherlands,52,712.2,21.0
2008,NLD,Netherlands,49,657.3,19.6
2009,NLD,Netherlands,43,553.1,17.2
2010,NLD,Netherlands,38,471.3,15.3
2011,NLD,Netherlands,37,456.1,14.7
2012,NLD,Netherlands,39,495.0,15.6
2013,NLD,Netherlands,43,570.0,17.1
2014,NLD,Netherlands,45,614.4,17.9
2015,NLD,Netherlands,44,599.6,17.4
2016,NLD,Netherlands,39,514.5,15.7
2017,NLD,Netherlands,34,429.5,13.7
2018,NLD,Netherlands,31,381.7,12.4
2019,NLD,Netherlands,31,385.6,12.4
2020,NLD,Netherlands,34,439.6,13.5
2021,NLD,Netherlands,36,484.8,14.5
2022,NLD,Netherlands,37,506.9,14.7
2023,NLD,Netherlands,34,458.2,13.7
2024,NLD,Netherlands,30,388.3,12.0
2000,POL,Poland,92,1195.4,37.0
2001,POL,Poland,81,1010.8,32.6
2002,POL,Poland,77,947.4,30.7
2003,POL,Poland,80,1006.4,32.1
2004,POL,Poland,88,1155.5,35.3
2005,POL,Poland,94,1278.0,37.8
2006,POL,Poland,94,1285.3,37.6
2007,POL,Poland,86,1145.0,34.5
2008,POL,Poland,76,969.0,30.2
2009,POL,Poland,68,839.7,27.1
2010,POL,Poland,67,828.9,26.7
2011,POL,Poland,72,921.8,28.7
2012,POL,Poland,78,1042.3,31.3
2013,POL,Poland,81,1108.6,32.5
2014,POL,Poland,78,1058.0,31.1
2015,POL,Poland,69,902.2,27.7
2016,POL,Poland,60,752.2,24.2
2017,POL,Poland,56,688.8,22.4
2018,POL,Poland,57,713.5,22.9
2019,POL,Poland,62,809.1,24.9
2020,POL,Poland,67,907.8,26.7
2021,POL,Poland,67,917.3,26.6
2022,POL,Poland,61,816.4,24.5
2023,POL,Poland,53,679.8,21.3
2024,POL,Poland,47,582.0,18.8
2000,PRT,Portugal,185,2295.4,74.0
2001,PRT,Portugal,178,2193.8,71.4
2002,PRT,Portugal,190,2409.4,75.9
2003,PRT,Portugal,209,2768.2,83.5
2004,PRT,Portugal,221,3016.5,88.3
2005,PRT,Portugal,216,2944.4,86.3
2006,PRT,Portugal,196,2587.8,78.2
2007,PRT,Portugal,171,2161.9,68.4
2008,PRT,Portugal,156,1921.1,62.3
2009,PRT,Portugal,157,1951.9,62.7
2010,PRT,Portugal,170,2196.2,68.2
2011,PRT,Portugal,185,2489.8,74.0
2012,PRT,Portugal,189,2589.3,75.6
2013,PRT,Portugal,178,2400.5,71.2
2014,PRT,Portugal,157,2034.1,62.9
2015,PRT,Portugal,138,1718.8,55.2
2016,PRT,Portugal,130,1600.0,52.1
2017,PRT,Portugal,136,1715.1,54.4
2018,PRT,Portugal,149,1961.9,59.5
2019,PRT,Portugal,157,2137.5,63.0
2020,PRT,Portugal,155,2117.6,61.8
2021,PRT,Portugal,140,1859.1,56.1
2022,PRT,Portugal,122,1551.2,48.7
2023,PRT,Portugal,109,1344.6,43.5
2024,PRT,Portugal,107,1325.6,42.8
2000,ROU,Romania,83,1026.4,33.2
2001,ROU,Romania,89,1138.4,35.8
2002,ROU,Romania,98,1308.5,39.3
2003,ROU,Romania,102,1395.8,40.9
2004,ROU,Romania,98,1330.0,39.4
2005,ROU,Romania,88,1151.6,35.3
2006,ROU,Romania,77,966.0,30.9
2007,ROU,Romania,72,885.6,28.7
2008,ROU,Romania,74,925.7,29.5
2009,ROU,Romania,81,1056.1,32.3
2010,ROU,Romania,87,1178.1,34.7
2011,ROU,Romania,87,1191.3,34.9
2012,ROU,Romania,81,1084.9,32.4
2013,ROU,Romania,71,911.5,28.4
2014,ROU,Romania,63,780.5,25.2
2015,ROU,Romania,61,752.5,24.3
2016,ROU,Romania,65,826.5,25.8
2017,ROU,Romania,70,929.6,28.2
2018,ROU,Romania,74,1011.0,29.5
2019,ROU,Romania,71,966.6,28.5
2020,ROU,Romania,64,842.7,25.5
2021,ROU,Romania,55,693.6,22.2
2022,ROU,Romania,50,615.4,20.1
2023,ROU,Romania,51,635.2,20.2
2024,ROU,Romania,55,712.6,21.8
2000,SVK,Slovakia,79,1019.7,31.4
2001,SVK,Slovakia,86,1156.7,34.3
2002,SVK,Slovakia,88,1205.5,35.2
